Medicine Name, Quantity, Chemical Name, Compnay Name, Unit Price
Sevitan HTZ,20 mg+12.5 mg,Olmesartan Medoxomil + Hydrochlorothiazide,Radiant Pharmaceuticals Ltd.,Unit Price : ৳ 10.50
Sevoran,250 ml/250 ml,Sevoflurane,Techno Drugs Ltd.,250 ml bottle : ৳ 10,500.00
Sevorane,250 ml/250 ml,Sevoflurane,Abbott Laboratories,250 ml bottle : ৳ 14,325.45
Sezol DS,1 gm,Secnidazole,ACI Limited,Unit Price : ৳ 17.05
SG-Plus,,Vitamin B complex,Salton Pharmaceuticals Ltd.,Price not available
SGN,50 mg,Sitagliptin,Pacific Pharmaceuticals Ltd.,Unit Price : ৳ 15.00
SGN,100 mg,Sitagliptin,Pacific Pharmaceuticals Ltd.,Unit Price : ৳ 35.00
SGN,25 mg,Sitagliptin,Pacific Pharmaceuticals Ltd.,Unit Price : ৳ 8.03
Shafa,120 mg/5 ml,Paracetamol,Seba Laboratories Ltd.,Price not available
Sharpkil,250 mg,Cefuroxime Axetil,One Pharma Limited,Unit Price : ৳ 25.00
Sharpkil,500 mg,Cefuroxime Axetil,One Pharma Limited,Unit Price : ৳ 45.00
Sharpkil Plus,250 mg+62.5 mg,Cefuroxime Axetil + Clavulanic Acid,One Pharma Limited,Unit Price : ৳ 29.95
Sharpkil Plus,500 mg+125 mg,Cefuroxime Axetil + Clavulanic Acid,One Pharma Limited,Unit Price : ৳ 51.30
Shigno,200 mg,Pivmecillinam,Ethical Drug Ltd.,Price not available
Siatroll,10 mg,Cetirizine Dihydrochloride,Silco Pharmaceutical Ltd.,Unit Price : ৳ 2.50
Sibalyn,1%,Silver Sulfadiazine,ACI Limited,25 gm tube : ৳ 40.12
Sibex,6% + 3%,Benzoic Acid + Salicylic Acid,Elixir Pharmaceuticals Ltd.,Price not available
Sibex,6% + 3%,Benzoic Acid + Salicylic Acid,Reliance Pharmaceuticals Ltd.,Price not available
Sibulin,5 mg,Sibutramine,Beximco Pharmaceuticals Ltd.,Unit Price : ৳ 5.02
Sibuthin,5 mg,Sibutramine,ACI Limited,Unit Price : ৳ 5.00
Sibutrin,5 mg,Sibutramine,General Pharmaceuticals Ltd.,Unit Price : ৳ 5.00
Sibutrin,10 mg,Sibutramine,General Pharmaceuticals Ltd.,Unit Price : ৳ 8.00
Sicef,500 mg,Cephradine,Silva Pharmaceuticals Ltd.,Unit Price : ৳ 12.54
Sicef,125 mg/5 ml,Cephradine,Silva Pharmaceuticals Ltd.,100 ml bottle : ৳ 79.93
Sicef,125 mg/1.25 ml,Cephradine,Silva Pharmaceuticals Ltd.,15 ml bottle : ৳ 45.14
Sicef DS,250 mg/5 ml,Cephradine,Silva Pharmaceuticals Ltd.,60 ml bottle : ৳ 70.26
Sicmon,10 mg+10 mg,Pyridoxine Hydrochloride + Doxylamine Succinate,Navana Pharmaceuticals Limited,Unit Price : ৳ 5.00
Sidobac,250 mg/vial,Ceftazidime Pentahydrate,Incepta Pharmaceuticals Limited,250 mg vial : ৳ 70.00
Sidobac,500 mg/vial,Ceftazidime Pentahydrate,Incepta Pharmaceuticals Limited,500 mg vial : ৳ 115.00
Sidobac,1 gm/vial,Ceftazidime Pentahydrate,Incepta Pharmaceuticals Limited,1 gm vial : ৳ 215.00
Sidopin,5 mg,Amlodipine,Eskayef Bangladesh Ltd.,Unit Price : ৳ 5.00
Sidopin,10 mg,Amlodipine,Eskayef Bangladesh Ltd.,Unit Price : ৳ 5.04
Sidoplus,5 mg+25 mg,Amlodipine + Atenolol,Eskayef Bangladesh Ltd.,Unit Price : ৳ 5.25
Sidoplus,5 mg+50 mg,Amlodipine + Atenolol,Eskayef Bangladesh Ltd.,Unit Price : ৳ 6.00
Sidor,50 mg,Sildenafil Citrate,Amico Laboratories Ltd.,Price not available
Sidor Plus,100 mg,Sildenafil Citrate,Amico Laboratories Ltd.,Price not available
Siesta,3 mg,Bromazepam,Incepta Pharmaceuticals Limited,Unit Price : ৳ 4.00
Sifen TR,100 mg,Diclofenac Sodium,Silva Pharmaceuticals Ltd.,Unit Price : ৳ 2.51
Siflam,400 mg,Ibuprofen,Silva Pharmaceuticals Ltd.,Unit Price : ৳ 1.20
Siglimet,50 mg+500 mg,Sitagliptin + Metformin Hydrochloride,Square Pharmaceuticals Ltd.,Unit Price : ৳ 13.99
Siglimet,50 mg+1000 mg,Sitagliptin + Metformin Hydrochloride,Square Pharmaceuticals Ltd.,Unit Price : ৳ 15.99
Siglimet XR,50 mg+500 mg,Sitagliptin + Metformin Hydrochloride,Square Pharmaceuticals Ltd.,Unit Price : ৳ 15.99
Siglimet XR,50 mg+1000 mg,Sitagliptin + Metformin Hydrochloride,Square Pharmaceuticals Ltd.,Unit Price : ৳ 18.00
Siglimet XR,100 mg+1000 mg,Sitagliptin + Metformin Hydrochloride,Square Pharmaceuticals Ltd.,Unit Price : ৳ 30.00
Siglita,50 mg,Sitagliptin,Square Pharmaceuticals Ltd.,Unit Price : ৳ 13.01
Siglita,100 mg,Sitagliptin,Square Pharmaceuticals Ltd.,Unit Price : ৳ 25.00
Sigtil,50 mg,Sitagliptin,The White Horse Pharma,Unit Price : ৳ 23.78
Sigvit,,Vitamin C| Vitamin E| Lutein| Copper & Zinc,Opso Saline Limited,Unit Price : ৳ 8.06
Sigyl,400 mg,Metronidazole,Save Pharmaceutical,Price not available
Sigyl,200 mg/5 ml,Metronidazole,Save Pharmaceutical,Price not available
Silagra,25 mg,Sildenafil Citrate,Incepta Pharmaceuticals Limited,Unit Price : ৳ 15.00
Silagra,50 mg,Sildenafil Citrate,Incepta Pharmaceuticals Limited,Unit Price : ৳ 30.00
Silagra,100 mg,Sildenafil Citrate,Incepta Pharmaceuticals Limited,Unit Price : ৳ 50.00
Silaron,200 mg/5 ml,Ferrous Sulfate,Silco Pharmaceutical Ltd.,Price not available
Silben,400 mg,Albendazole,Silco Pharmaceutical Ltd.,Price not available
Silburn,1%,Silver Sulfadiazine,Pharmadesh Laboratories Ltd.,20 gm tube : ৳ 45.00
Silcal,500 mg,Calcium Carbonate,Silco Pharmaceutical Ltd.,Price not available
Silcane,250 mg+400 mg,Aluminium Hydroxide + Magnesium Hydroxide,Silco Pharmaceutical Ltd.,Price not available
Silcane PLUS,400 mg+400 mg+30 mg,Aluminium Hydroxide + Magnesium Hydroxide + Simethicone,Silco Pharmaceutical Ltd.,Price not available
Silcard,40 mg,Isosorbide Dinitrate,Silco Pharmaceutical Ltd.,Price not available
Silcream,1%,Silver Sulfadiazine,Jayson Pharma Ltd.,5 gm tube : ৳ 14.00
Silfenac,100 mg,Aceclofenac,Silco Pharmaceutical Ltd.,Price not available
Silfil,50 mg,Sildenafil Citrate,Organic Health Care,Unit Price : ৳ 30.10
Silfil,100 mg,Sildenafil Citrate,Organic Health Care,Unit Price : ৳ 50.15
Silinor,25 mg,Sitagliptin,Healthcare Pharmacuticals Limited,Unit Price : ৳ 10.00
Silinor,50 mg,Sitagliptin,Healthcare Pharmacuticals Limited,Unit Price : ৳ 18.00
Silinor,100 mg,Sitagliptin,Healthcare Pharmacuticals Limited,Unit Price : ৳ 30.00
Silinor-M,50 mg+1000 mg,Sitagliptin + Metformin Hydrochloride,Healthcare Pharmacuticals Limited,Unit Price : ৳ 22.00
Silinor-M,50 mg+500 mg,Sitagliptin + Metformin Hydrochloride,Healthcare Pharmacuticals Limited,Unit Price : ৳ 20.00
Silmet,200 mg/5 ml,Metronidazole,Silco Pharmaceutical Ltd.,Price not available
Silmet,400,Metronidazole,Silco Pharmaceutical Ltd.,Price not available
Silmon,10 mg,Montelukast Sodium,Silva Pharmaceuticals Ltd.,Unit Price : ৳ 13.99
Silofast,8 mg,Silodosin,Drug International Limited,Unit Price : ৳ 15.00
Silofast,4 mg,Silodosin,Drug International Limited,Unit Price : ৳ 8.00
Siloflo,4 mg,Silodosin,Aristopharma Ltd.,Unit Price : ৳ 8.00
Siloflo,8 mg,Silodosin,Aristopharma Ltd.,Unit Price : ৳ 15.00
Silora,10 mg,Loratadine,Ibn-Sina Pharmaceuticals Ltd.,Unit Price : ৳ 2.49
Silox,250 mg,Flucloxacillin Sodium,Silva Pharmaceuticals Ltd.,Unit Price : ৳ 5.77
Silox,500 mg,Flucloxacillin Sodium,Silva Pharmaceuticals Ltd.,Unit Price : ৳ 10.04
Silox,125 mg/5 ml,Flucloxacillin Sodium,Silva Pharmaceuticals Ltd.,100 ml bottle : ৳ 60.22
Silpa,500 mg,Paracetamol,Silva Pharmaceuticals Ltd.,Unit Price : ৳ 0.60
Silpa,125 mg/5 ml,Paracetamol,Silva Pharmaceuticals Ltd.,60 ml bottle : ৳ 16.35
Silpol,500 mg,Paracetamol,Silco Pharmaceutical Ltd.,Price not available
Silpol,120 mg/5 ml,Paracetamol,Silco Pharmaceutical Ltd.,100 ml bottle : ৳ 30.00
Silvadazin,1%,Silver Sulfadiazine,Aristopharma Ltd.,25 gm tube : ৳ 45.00
Silvage,,Multivitamin & Multimineral (A-Z silver preparation),Orion Pharma Limited,Unit Price : ৳ 6.01
Silvazin,1%,Silver Sulfadiazine,Chemist Laboratories  Limited.,25 gm tube : ৳ 30.00
Silvec,1%,Silver Sulfadiazine,Drug International Limited,30 gm tube : ৳ 50.00
Silverax,1%,Silver Sulfadiazine,Healthcare Pharmacuticals Limited,25 gm tube : ৳ 57.00
Silverzine,1%,Silver Sulfadiazine,Gaco Pharmaceuticals Ltd.,10 gm tube : ৳ 11.50
Silybin,70 mg,Silymarin,Square Pharmaceuticals Ltd.,Unit Price : ৳ 6.00
Silybin,140 mg,Silymarin,Square Pharmaceuticals Ltd.,Unit Price : ৳ 9.00
Silzin,1%,Silver Sulfadiazine,Kemiko Pharmaceuticals Ltd.,25 gm tube : ৳ 50.00
Simacor,10 mg,Simvastatin,Square Pharmaceuticals Ltd.,Unit Price : ৳ 10.07
Simcod,,Multivitamin & Cod Liver Oil,Pharmasia Limited,100 ml bottle : ৳ 80.00
Simecol,67 mg/ml,Simethicone,Alco Pharma Limited,15 ml drop : ৳ 27.98
Simegal,(480 mg+20 mg)/5 ml,Magaldrate + Simethicone,Beacon Pharmaceuticals Ltd.,200 ml bottle : ৳ 110.00
Simet,67 mg/ml,Simethicone,ACI Limited,15 ml drop : ৳ 30.20
Simethi,67 mg/ml,Simethicone,Zenith Pharmaceuticals Ltd.,15 ml drop : ৳ 30.00
Simgel,(400 mg+400 mg+30 mg)/5 ml,Aluminium Hydroxide + Magnesium Hydroxide + Simethicone,Orion Pharma Limited,200 ml bottle : ৳ 49.88
Simicon,67 mg/ml,Simethicone,Navana Pharmaceuticals Limited,15 ml drop : ৳ 30.10
Simox,250 mg,Amoxicillin Trihydrate,Silva Pharmaceuticals Ltd.,Unit Price : ৳ 3.51
Simox,500 mg,Amoxicillin Trihydrate,Silva Pharmaceuticals Ltd.,Unit Price : ৳ 6.02
Simox,125 mg/5 ml,Amoxicillin Trihydrate,Silva Pharmaceuticals Ltd.,100 ml bottle : ৳ 45.17
Simox,125 mg/1.25 ml,Amoxicillin Trihydrate,Silva Pharmaceuticals Ltd.,15 ml bottle : ৳ 27.11
Simox DS,250 mg/5 ml,Amoxicillin Trihydrate,Silva Pharmaceuticals Ltd.,100 ml bottle : ৳ 65.25
Simpicillin,500 mg/vial,Ampicillin,Gaco Pharmaceuticals Ltd.,500 mg vial : Price Unavailable
Simpiclox,500 mg,Cloxacillin,Gaco Pharmaceuticals Ltd.,Price not available
Simpiclox,125 mg/5 ml,Cloxacillin,Gaco Pharmaceuticals Ltd.,Price not available
Simpiclox,500 mg/vial,Cloxacillin,Gaco Pharmaceuticals Ltd.,Price not available
Simpli,500 mg,Azithromycin,Beacon Pharmaceuticals Ltd.,Unit Price : ৳ 35.11
Simpli,200 mg/5 ml,Azithromycin,Beacon Pharmaceuticals Ltd.,20 ml bottle : ৳ 85.57
Simpli,500 mg/ml,Azithromycin,Beacon Pharmaceuticals Ltd.,5 ml vial : ৳ 461.38
Simplovir,5% w/w,Acyclovir (Topical),Incepta Pharmaceuticals Limited,5 gm tube : ৳ 40.00
Simplovir,250 mg/50 ml,Acyclovir (Injection),Incepta Pharmaceuticals Limited,50 ml vial : ৳ 400.00
Simplovir,500 mg/100 ml,Acyclovir (Injection),Incepta Pharmaceuticals Limited,100 ml vial : ৳ 700.00
Simplovir,200 mg,Acyclovir (Oral),Incepta Pharmaceuticals Limited,Unit Price : ৳ 14.00
Simplovir,400 mg,Acyclovir (Oral),Incepta Pharmaceuticals Limited,Unit Price : ৳ 11.00
Simulect,20 mg/vial,Basiliximab,Novartis (Bangladesh) Limited,20 mg vial : ৳ 103,273.56
Simvatin,10 mg,Simvastatin,Acme Laboratories Limited,Unit Price : ৳ 15.00
Simvatin,20 mg,Simvastatin,Acme Laboratories Limited,Unit Price : ৳ 18.11
Simvit-B,,Vitamin B complex,Pharmasia Limited,100 ml bottle : ৳ 21.05
Sina Gold,,Multivitamin & Multimineral (A-Z gold preparation),Ibn-Sina Pharmaceuticals Ltd.,Unit Price : ৳ 7.25
Sina Silver,,Multivitamin & Multimineral (A-Z silver preparation),Ibn-Sina Pharmaceuticals Ltd.,Unit Price : ৳ 7.27
Sinaban,2% w/w,Mupirocin,Ibn-Sina Pharmaceuticals Ltd.,10 gm tube : ৳ 140.00
Sinaceph,250 mg,Cephradine,Ibn-Sina Pharmaceuticals Ltd.,Unit Price : ৳ 6.80
Sinaceph,500 mg,Cephradine,Ibn-Sina Pharmaceuticals Ltd.,Unit Price : ৳ 15.00
Sinaceph,125 mg/5 ml,Cephradine,Ibn-Sina Pharmaceuticals Ltd.,100 ml bottle : ৳ 95.00
Sinaceph,125 mg/1.25 ml,Cephradine,Ibn-Sina Pharmaceuticals Ltd.,15 ml bottle : ৳ 55.00
Sinaceph,500 mg/5 ml,Cephradine,Ibn-Sina Pharmaceuticals Ltd.,500 mg vial : ৳ 55.00
Sinaceph,1 gm/10 ml,Cephradine,Ibn-Sina Pharmaceuticals Ltd.,1 gm vial : ৳ 85.00
Sinaceph DS,250 mg/5 ml,Cephradine,Ibn-Sina Pharmaceuticals Ltd.,100 ml bottle : ৳ 125.00
Sinacet,2.5 mg/5 ml,Levocetirizine Dihydrochloride,Ibn-Sina Pharmaceuticals Ltd.,60 ml bottle : ৳ 50.00
Sinacet,5 mg,Levocetirizine Dihydrochloride,Ibn-Sina Pharmaceuticals Ltd.,Unit Price : ৳ 4.00
Sinacid,250 mg+400 mg,Aluminium Hydroxide + Magnesium Hydroxide,Save Pharmaceutical,Price not available
Sinaclox,500 mg,Cloxacillin,Ibn-Sina Pharmaceuticals Ltd.,Unit Price : ৳ 5.75
Sinaclox,125 mg/5 ml,Cloxacillin,Ibn-Sina Pharmaceuticals Ltd.,100 ml bottle : ৳ 43.00
Sinacort,0.1%,Betamethasone,Ibn-Sina Pharmaceuticals Ltd.,10 gm tube : ৳ 20.00
Sinacort,0.1%,Betamethasone,Ibn-Sina Pharmaceuticals Ltd.,15 gm tube : ৳ 21.00
Sinaferon,200 mg/5 ml,Ferrous Sulfate,Ibn-Sina Pharmaceuticals Ltd.,200 ml bottle : ৳ 40.00
Sinaferon,200 mg+200 mcg,Ferrous Fumerate + Folic acid,Ibn-Sina Pharmaceuticals Ltd.,Unit Price : ৳ 0.19
Sinaferon,200 mg+200 mcg,Ferrous Fumerate + Folic acid,Ibn-Sina Pharmaceuticals Ltd.,Unit Price : ৳ 0.57
Sinafil,50 mg,Sildenafil Citrate,Everest Pharmaceuticals Ltd.,Unit Price : ৳ 30.00
Sinafil,100 mg,Sildenafil Citrate,Everest Pharmaceuticals Ltd.,Unit Price : ৳ 50.00
Sinafil,50 mg,Tadalafil,Ibn-Sina Pharmaceuticals Ltd.,Unit Price : ৳ 30.00
Sinaflox,250 mg,Flucloxacillin Sodium,Ibn-Sina Pharmaceuticals Ltd.,Unit Price : ৳ 5.60
Sinaflox,500 mg,Flucloxacillin Sodium,Ibn-Sina Pharmaceuticals Ltd.,Unit Price : ৳ 10.50
Sinaflox,125 mg/5 ml,Flucloxacillin Sodium,Ibn-Sina Pharmaceuticals Ltd.,100 ml bottle : ৳ 65.00
Sinafort-B,,Vitamin B complex,Ibn-Sina Pharmaceuticals Ltd.,Unit Price : ৳ 0.56
Sinafort-B,,Vitamin B complex,Ibn-Sina Pharmaceuticals Ltd.,Unit Price : ৳ 0.61
Sinafort-B,,Vitamin B complex,Ibn-Sina Pharmaceuticals Ltd.,100 ml bottle : ৳ 35.00
Sinafresh,1%,Carboxymethylcellulose Sodium,Ibn-Sina Pharmaceuticals Ltd.,10 ml drop : ৳ 250.00
Sinakof,50 mg,Butamirate Citrate,Ibn-Sina Pharmaceuticals Ltd.,Unit Price : ৳ 10.01
Sinalac,3.35 gm/5 ml,Lactulose,Ibn-Sina Pharmaceuticals Ltd.,100 ml bottle : ৳ 70.00
Sinalax,10 gm,Lactitol Monohydrate,Ibn-Sina Pharmaceuticals Ltd.,10 gm powder : ৳ 13.01
Sinamin,4 mg,Chlorpheniramine Maleate,Ibn-Sina Pharmaceuticals Ltd.,Unit Price : ৳ 0.29
Sinamin,2 mg/5 ml,Chlorpheniramine Maleate,Ibn-Sina Pharmaceuticals Ltd.,100 ml bottle : ৳ 21.85
Sinamox,250 mg,Amoxicillin Trihydrate,Ibn-Sina Pharmaceuticals Ltd.,Unit Price : ৳ 3.60
Sinamox,500 mg,Amoxicillin Trihydrate,Ibn-Sina Pharmaceuticals Ltd.,Unit Price : ৳ 6.75
Sinamox,125 mg/5 ml,Amoxicillin Trihydrate,Ibn-Sina Pharmaceuticals Ltd.,100 ml bottle : ৳ 47.46
Sinamox,125 mg/1.25 ml,Amoxicillin Trihydrate,Ibn-Sina Pharmaceuticals Ltd.,15 ml bottle : ৳ 30.00
Sinamox DS,250 mg/5 ml,Amoxicillin Trihydrate,Ibn-Sina Pharmaceuticals Ltd.,100 ml bottle : ৳ 69.00
Sinapol,500 mg,Paracetamol,Ibn-Sina Pharmaceuticals Ltd.,Unit Price : ৳ 0.80
Sinapol,125 mg/5 ml,Paracetamol,Ibn-Sina Pharmaceuticals Ltd.,60 ml bottle : ৳ 20.00
Sinatrim,(200 mg+40 mg)/5 ml,Cotrimoxazole (Sulphamethoxazole + Trimethoprim),Ibn-Sina Pharmaceuticals Ltd.,60 ml bottle : ৳ 22.00
Sinatrim,400 mg+80 mg,Cotrimoxazole (Sulphamethoxazole + Trimethoprim),Ibn-Sina Pharmaceuticals Ltd.,Unit Price : ৳ 1.41
Sinatrim DS,800 mg+160 mg,Cotrimoxazole (Sulphamethoxazole + Trimethoprim),Ibn-Sina Pharmaceuticals Ltd.,Unit Price : ৳ 2.10
Sinazid,80 mg,Gliclazide,Ibn-Sina Pharmaceuticals Ltd.,Unit Price : ৳ 6.50
Sindoxplatin,5 mg/ml,Oxaliplatin,Actavis (BOTS Pvt. Limited),50 mg vial : ৳ 4,377.00
Sindroxocin,2 mg/ml,Doxorubicin Hydrochloride,Actavis (BOTS Pvt. Limited),10 mg vial : ৳ 908.00
Sinecod SR,50 mg,Butamirate Citrate,SANDOZ (A Novartis Division),Unit Price : ৳ 12.00
Sinergix,325 mg+37.5 mg,Paracetamol + Tramadol Hydrochloride,Renata Limited,Unit Price : ৳ 8.00
Sinex,,Camphor + Menthol + Oil Clove + Oil Eucalyptus + Oil Turpentine,Cosmic Pharma Limited,10 gm tube : ৳ 10.00
Singlin,0.5 mg,Repaglinide,Renata Limited,Unit Price : ৳ 2.00
Singlin,1 mg,Repaglinide,Renata Limited,Unit Price : ৳ 3.00
Singlin,2 mg,Repaglinide,Renata Limited,Unit Price : ৳ 5.00
Sinplatin,1 mg/ml,Cisplatin,Actavis (BOTS Pvt. Limited),50 mg vial : ৳ 1,545.00
Sintel,200 mg/5 ml,Albendazole,ACI Limited,10 ml bottle : ৳ 20.07
Sintel,400 mg,Albendazole,ACI Limited,Unit Price : ৳ 3.30
Sintel,200 mg,Albendazole,ACI Limited,Unit Price : ৳ 2.66
Sintel,400 mg,Albendazole,ACI Limited,Unit Price : ৳ 5.02
Sirdalud,2 mg,Tizanidine Hydrochloride,SANDOZ (A Novartis Division),Unit Price : ৳ 11.53
Sistin,10 mg,Cetirizine Dihydrochloride,Supreme Pharmaceutical Ltd.,Unit Price : ৳ 2.50
Sistin,5 mg/5 ml,Cetirizine Dihydrochloride,Supreme Pharmaceutical Ltd.,60 ml bottle : ৳ 16.00
Sitadus,100 mg,Sitagliptin,Opsonin Pharma Limited,Unit Price : ৳ 28.08
Sitadus,25 mg,Sitagliptin,Opsonin Pharma Limited,Unit Price : ৳ 8.03
Sitadus,50 mg,Sitagliptin,Opsonin Pharma Limited,Unit Price : ৳ 15.04
Sitadus-M,50 mg+1000 mg,Sitagliptin + Metformin Hydrochloride,Opsonin Pharma Limited,Unit Price : ৳ 18.00
Sitadus-M,50 mg+500 mg,Sitagliptin + Metformin Hydrochloride,Opsonin Pharma Limited,Unit Price : ৳ 16.00
Sitagil,25 mg,Sitagliptin,Incepta Pharmaceuticals Limited,Unit Price : ৳ 8.00
Sitagil,50 mg,Sitagliptin,Incepta Pharmaceuticals Limited,Unit Price : ৳ 15.00
Sitagil,100 mg,Sitagliptin,Incepta Pharmaceuticals Limited,Unit Price : ৳ 28.00
Sitagil M,50 mg+500 mg,Sitagliptin + Metformin Hydrochloride,Incepta Pharmaceuticals Limited,Unit Price : ৳ 16.00
Sitagil M,100 mg+1000 mg,Sitagliptin + Metformin Hydrochloride,Incepta Pharmaceuticals Limited,Unit Price : ৳ 35.00
Sitagil M,50 mg+1000 mg,Sitagliptin + Metformin Hydrochloride,Incepta Pharmaceuticals Limited,Unit Price : ৳ 18.00
Sitaglap M,50 mg+500 mg,Sitagliptin + Metformin Hydrochloride,Euro Pharma Ltd.,Unit Price : ৳ 20.00
Sitaglap M,50 mg+1000 mg,Sitagliptin + Metformin Hydrochloride,Euro Pharma Ltd.,Unit Price : ৳ 22.00
Sitalia M,50 mg+500 mg,Sitagliptin + Metformin Hydrochloride,Delta Pharma Limited,Unit Price : ৳ 16.00
Sitalia M,100 mg+1000 mg,Sitagliptin + Metformin Hydrochloride,Delta Pharma Limited,Unit Price : ৳ 35.00
Sitamet,50 mg+500 mg,Sitagliptin + Metformin Hydrochloride,Renata Limited,Unit Price : ৳ 20.05
Sitap,50 mg,Sitagliptin,ACI Limited,Unit Price : ৳ 15.05
Sitap,100 mg,Sitagliptin,ACI Limited,Unit Price : ৳ 28.08
Sitavia,50 mg,Sitagliptin,Sharif Pharmaceuticals Ltd.,Unit Price : ৳ 15.00
Sitavia,100 mg,Sitagliptin,Sharif Pharmaceuticals Ltd.,Unit Price : ৳ 28.00
Sitavia-M,50 mg+1000 mg,Sitagliptin + Metformin Hydrochloride,Sharif Pharmaceuticals Ltd.,Unit Price : ৳ 18.00
Sitavia-M,50 mg+500 mg,Sitagliptin + Metformin Hydrochloride,Sharif Pharmaceuticals Ltd.,Unit Price : ৳ 16.00
Sitazid,50 mg,Sitagliptin,Eskayef Bangladesh Ltd.,Unit Price : ৳ 13.00
Sitazid,100 mg,Sitagliptin,Eskayef Bangladesh Ltd.,Unit Price : ৳ 25.00
Sitazid M,50 mg+1000 mg,Sitagliptin + Metformin Hydrochloride,Eskayef Bangladesh Ltd.,Unit Price : ৳ 15.00
Sitazid M,50 mg+500 mg,Sitagliptin + Metformin Hydrochloride,Eskayef Bangladesh Ltd.,Unit Price : ৳ 14.00
Sitomet,50 mg+1000 mg,Sitagliptin + Metformin Hydrochloride,ACI Limited,Unit Price : ৳ 18.05
Sitomet,50 mg+500 mg,Sitagliptin + Metformin Hydrochloride,ACI Limited,Unit Price : ৳ 16.05
Sitrim,(200 mg+40 mg)/5 ml,Cotrimoxazole (Sulphamethoxazole + Trimethoprim),Silva Pharmaceuticals Ltd.,60 ml bottle : ৳ 20.07
Sitrim,400 mg+80 mg,Cotrimoxazole (Sulphamethoxazole + Trimethoprim),Silva Pharmaceuticals Ltd.,Unit Price : ৳ 2.01
Sivicaine Heavy,(5 mg+80 mg)/ml,Bupivacaine Hydrochloride + Dextrose,Renata Limited,4 ml ampoule : ৳ 30.11
Sivolac,3.35 gm/5 ml,Lactulose,Sharif Pharmaceuticals Ltd.,100 ml bottle : ৳ 99.96
Sixtin,2.5 mg,Saxagliptin,Drug International Limited,Unit Price : ৳ 16.00
Sixtin,5 mg,Saxagliptin,Drug International Limited,Unit Price : ৳ 30.00
Sixvit,20 mg,Pyridoxine Hydrochloride,Beacon Pharmaceuticals Ltd.,Unit Price : ৳ 1.30
Sizatoin,100 mg,Phenytoin Sodium,Incepta Pharmaceuticals Limited,Unit Price : ৳ 4.00
Sizodon,1 mg,Risperidone,Sun Pharmaceutical (Bangladesh) Limited,Unit Price : ৳ 3.01
Sizodon,2 mg,Risperidone,Sun Pharmaceutical (Bangladesh) Limited,Unit Price : ৳ 6.02
Sizodon,4 mg,Risperidone,Sun Pharmaceutical (Bangladesh) Limited,Unit Price : ৳ 9.03
Sizodon MD,4 mg,Risperidone,Sun Pharmaceutical (Bangladesh) Limited,Unit Price : ৳ 9.03
Sizodon MD,1 mg,Risperidone,Sun Pharmaceutical (Bangladesh) Limited,Unit Price : ৳ 3.01
Sizodon MD,2 mg,Risperidone,Sun Pharmaceutical (Bangladesh) Limited,Unit Price : ৳ 6.02
Sizonil,1 mg,Trifluoperazine,Healthcare Pharmacuticals Limited,Unit Price : ৳ 2.00
Sizonil,5 mg,Trifluoperazine,Healthcare Pharmacuticals Limited,Unit Price : ৳ 3.50
Sizopin,25 mg,Clozapine,Sun Pharmaceutical (Bangladesh) Limited,Unit Price : ৳ 3.00
Sizopin,100 mg,Clozapine,Sun Pharmaceutical (Bangladesh) Limited,Unit Price : ৳ 10.01
Sizopra,10 mg,Aripiprazole,Acme Laboratories Limited,Unit Price : ৳ 5.03
Sizopra,15 mg,Aripiprazole,Acme Laboratories Limited,Unit Price : ৳ 7.04
SK-Cef,250 mg,Cephradine,Eskayef Bangladesh Ltd.,Unit Price : ৳ 8.00
SK-Cef,500 mg,Cephradine,Eskayef Bangladesh Ltd.,Unit Price : ৳ 15.00
SK-Cef,125 mg/5 ml,Cephradine,Eskayef Bangladesh Ltd.,100 ml bottle : ৳ 90.01
SK-Cef,125 mg/1.25 ml,Cephradine,Eskayef Bangladesh Ltd.,15 ml bottle : ৳ 65.01
SK-Cef,500 mg/vial,Cephradine,Eskayef Bangladesh Ltd.,500 mg vial : ৳ 50.00
SK-Cef,1 gm/vial,Cephradine,Eskayef Bangladesh Ltd.,1 gm vial : ৳ 80.00
SK-Cef DS,250 mg/5 ml,Cephradine,Eskayef Bangladesh Ltd.,60 ml bottle : ৳ 80.00
Sk-Flu,75 mg,Oseltamivir,Eskayef Bangladesh Ltd.,Unit Price : ৳ 179.83
SK-mox,250 mg/5 ml,Amoxicillin Trihydrate,Eskayef Bangladesh Ltd.,100 ml bottle : ৳ 68.19
SK-mox,250 mg,Amoxicillin Trihydrate,Eskayef Bangladesh Ltd.,Unit Price : ৳ 3.55
SK-mox,500 mg,Amoxicillin Trihydrate,Eskayef Bangladesh Ltd.,Unit Price : ৳ 6.09
SK-mox,125 mg/5 ml,Amoxicillin Trihydrate,Eskayef Bangladesh Ltd.,100 ml bottle : ৳ 47.60
SK-mox,125 mg/1.25 ml,Amoxicillin Trihydrate,Eskayef Bangladesh Ltd.,15 ml bottle : ৳ 30.20
SK-mox DS,250 mg/5 ml,Amoxicillin Trihydrate,Eskayef Bangladesh Ltd.,100 ml bottle : ৳ 65.00
Skelofen,5 mg,Baclofen,Acme Laboratories Limited,Unit Price : ৳ 4.51
Skelofen,10 mg,Baclofen,Acme Laboratories Limited,Unit Price : ৳ 8.03
